セクション,項目,値
ジョブ情報,ジョブID,90
ジョブ情報,ジョブ名,dataMigrationJob
ジョブ情報,ステータス,COMPLETED
ジョブ情報,終了コード,COMPLETED
実行時間,開始時刻,2026-01-03 15:03:33
実行時間,終了時刻,2026-01-03 15:03:33
実行時間,処理時間(秒),0
実行時間,処理時間(ミリ秒),163
ステップ1(companyMigrationStep),ステータス,COMPLETED
ステップ1(companyMigrationStep),読み込み件数,15
ステップ1(companyMigrationStep),書き込み件数,15
ステップ1(companyMigrationStep),読み込みスキップ件数,0
ステップ1(companyMigrationStep),処理スキップ件数,0
ステップ1(companyMigrationStep),書き込みスキップ件数,0
ステップ1(companyMigrationStep),スキップ合計,0
ステップ1(companyMigrationStep),コミット回数,1
ステップ1(companyMigrationStep),ロールバック回数,0
ステップ1(companyMigrationStep),処理時間(秒),0
ステップ1(companyMigrationStep),処理速度(件/秒),0.00
サマリー,総読み込み件数,15
サマリー,総書き込み件数,15
サマリー,総スキップ件数,0
サマリー,全体処理速度(件/秒),0.00
サマリー,成功率(%),100.00
